103,0.343274805
4414,0.0565621353
8085,0.0379066016
2792,0.0323573875
105,2.1641837721
39,1.2626783618
74,0.7241039097
99,0.514387549
97,1.3664635698
110,0.3585440948
73,0.3623278976
71,2.3699958948
70,0.9026744928
69,0.6949048276
38,0.3582642119
36,0.4202666857
37,2.9466123702
86,0.2163631329
96,0.0214167073
40,0.3577567852
98,4.1044054964
92,0.0275066894
91,0.6029755519
93,2.2546787948
95,0.0049944685
94,3.4609252633
123,0.1164904547
137,0.0689009216
126,0.2016380174
127,0.4803900103
104,0.1015556152
42,0.1580376052
35,0.5345660758
4772,0
129,0.8241287332
102,0.187177927
128,0.3245376611
124,0.4437901832
83,0.3984800045
125,0.2770060815
84,1.6106550045
